first_order_date,last_order_date,orders,quantity,revenue,postal_code,city,country,today,days_since_order,id,order_ids
2020-01-24 16:14:00,2020-01-24 16:14:00,1,3,29.0,9363 EW,Marum,NL,2020-06-18 00:00:00,145 ,17118988891836705819,16478367896541629744
2020-01-25 13:18:00,2020-01-25 13:18:00,1,3,29.0,3882 ML,Putten,NL,2020-06-18 00:00:00,144 ,12245021075089984020,10950179596794568157
2020-01-30 13:49:00,2020-01-30 13:49:00,1,3,29.0,1108 HV,amsterdam,NL,2020-06-18 00:00:00,139 ,7047040420101569967,12048297581220779277
2020-02-01 19:48:00,2020-02-01 19:54:00,1,6,58.0,2135 PP,Hoofddorp,NL,2020-06-18 00:00:00,137 ,5872290835521402219,11839099536969950881
2020-02-01 20:56:00,2020-02-01 20:56:00,1,3,29.0,6413 VL,Heerlen,NL,2020-06-18 00:00:00,137 ,15920057132903205417,10655832536287433720
2020-02-02 20:44:00,2020-02-02 20:44:00,1,3,29.0,7908 BT,Hoogeveen,NL,2020-06-18 00:00:00,136 ,3375108503797466412,16767338831499934506
2020-02-03 15:46:00,2020-02-03 15:46:00,1,2,23.0,2253 WR,Voorschoten,NL,2020-06-18 00:00:00,135 ,3169512948956272899,855590060019590915
2020-02-04 14:37:00,2020-02-04 14:37:00,1,3,29.0,1013 BE,Amsterdam,NL,2020-06-18 00:00:00,134 ,4402586800902091956,6925914886121767093
2020-02-04 14:25:00,2020-02-04 14:25:00,1,3,29.0,8031 WP,Zwolle,NL,2020-06-18 00:00:00,134 ,11490963394949303706,5981161972247548801
2020-01-21 21:16:00,2020-02-04 13:24:00,1,1,15.0,1566 JN,Assendelft,NL,2020-06-18 00:00:00,134 ,15362955105264281644,8265983116350612032
2020-02-05 16:38:00,2020-02-05 16:38:00,1,3,29.0,1069 HX,amsterdam,NL,2020-06-18 00:00:00,133 ,7370180628502289803,8770638136131359781
2020-02-03 23:07:00,2020-02-05 21:40:00,2,3,31.0,6211 LD,Maastricht,NL,2020-06-18 00:00:00,133 ,839003163835897140,11930379327886019746
2020-02-07 19:54:00,2020-02-07 19:54:00,1,3,29.0,1601 CW,Enkhuizen,NL,2020-06-18 00:00:00,131 ,13827471220730010735,8436080289845130532
2020-02-08 11:52:00,2020-02-08 11:52:00,1,4,37.0,2204 BK,Noordwijk,NL,2020-06-18 00:00:00,130 ,18433424016771562925,8761657480770702556
2020-02-10 22:52:00,2020-02-10 22:52:00,1,3,29.0,6512 BC,Nijmegen,NL,2020-06-18 00:00:00,128 ,9062773369603110353,11508224590447302052
2020-02-11 20:57:00,2020-02-11 20:57:00,1,3,31.0,1068 GL,Amsterdam,NL,2020-06-18 00:00:00,127 ,14140130294709141982,2220256553451567842
2020-02-13 19:20:00,2020-02-13 19:20:00,1,3,29.0,6521 CD,Nijmegen,NL,2020-06-18 00:00:00,125 ,638895136227321233,11114844865346280250
2020-02-13 13:57:00,2020-02-13 13:57:00,1,4,37.0,7314 KL,Apeldoorn,NL,2020-06-18 00:00:00,125 ,16583489514963958997,18084006878068030295
2020-02-15 03:17:00,2020-02-15 03:17:00,1,4,37.0,1069 SC,Amsterdam,NL,2020-06-18 00:00:00,123 ,17063528764713437820,830026613817434568
2020-02-16 11:03:00,2020-02-16 11:03:00,1,3,29.0,9732 PE,Groningen,NL,2020-06-18 00:00:00,122 ,16660538689826546503,11272131938032700685
2020-06-05 12:33:00,2020-06-05 12:33:00,1,3,41.0,6301 GN,VALKENBURG LB,NL,2020-06-18 00:00:00,12 ,12079747834071032652,14818694124883291368
2020-02-20 20:17:00,2020-02-20 20:17:00,1,6,58.0,1423 AM,Uithoorn,NL,2020-06-18 00:00:00,118 ,16552943627614005596,17625964040659934423
2020-02-22 02:14:00,2020-02-22 02:14:00,1,3,29.0,4241 AE,Arkel,NL,2020-06-18 00:00:00,116 ,5256127123402732952,4057443163140737143
2020-02-23 21:02:00,2020-02-23 21:02:00,1,1,8.0,9602 HC,Hoogezand,NL,2020-06-18 00:00:00,115 ,8832986410127031741,10028306092222404585
2020-02-24 13:55:00,2020-02-24 13:55:00,1,4,37.0,6596 BX,Milsbeek,NL,2020-06-18 00:00:00,114 ,12489004899231283746,3283840206767798706
2020-02-24 20:25:00,2020-02-24 20:25:00,1,3,29.0,4826 KA,Breda,NL,2020-06-18 00:00:00,114 ,927442144071043282,6891026159510409084
2020-02-24 13:42:00,2020-02-24 13:42:00,1,3,29.0,1502 TV,Zaandam,NL,2020-06-18 00:00:00,114 ,3118617188894331948,7078322787632094989
2020-02-25 23:15:00,2020-02-25 23:15:00,1,3,32.0,7241 RT,Lochem,NL,2020-06-18 00:00:00,113 ,6831737887541829547,5073350648039150527
