Order Number,Item Name,Item #,Quantity,Item Cost
653,Yerba mate,3,1,9.17
653,Kalebas - Traditioneel,4,1,12.4
652,Kalebas - Traditioneel,1,2,12.4
651,Yerba mate set compleet,1,1,32.19
650,Yerba mate,1,2,9.17
649,Yerba mate set compleet,1,1,32.19
648,Yerba mate set compleet,1,1,32.19
647,Yerba mate,1,1,9.17
647,Kalebas - Traditioneel,2,1,13.22
646,Yerba mate,1,1,9.13
645,Yerba mate set,1,2,20.62
645,Bombilla,2,2,0.0
645,Yerba mate,3,2,0.0
645,Kalebas,4,2,0.0
645,Bombilla,5,1,6.57
643,Yerba mate set compleet,1,1,32.19
642,Yerba mate set,1,1,20.62
642,Bombilla,2,1,0.0
642,Yerba mate,3,1,0.0
642,Kalebas,4,1,0.0
641,Yerba mate set,1,1,20.62
641,Bombilla,2,1,0.0
641,Yerba mate,3,1,0.0
641,Kalebas,4,1,0.0
640,Yerba mate set,1,1,20.62
640,Bombilla,2,1,0.0
640,Yerba mate,3,1,0.0
640,Kalebas,4,1,0.0
639,Yerba mate set,1,1,20.62
639,Bombilla,2,1,0.0
639,Yerba mate,3,1,0.0
639,Kalebas,4,1,0.0
638,Yerba mate set,1,1,20.62
638,Bombilla,2,1,0.0
638,Yerba mate,3,1,0.0
638,Kalebas,4,1,0.0
637,Yerba mate set compleet,1,1,32.19
636,Yerba mate set compleet,1,1,32.19
635,Yerba mate set,1,3,20.62
635,Bombilla,2,3,0.0
635,Yerba mate,3,3,0.0
635,Kalebas,4,3,0.0
634,Yerba mate set,1,1,20.62
634,Bombilla,2,1,0.0
634,Yerba mate,3,1,0.0
634,Kalebas,4,1,0.0
632,Yerba mate set,1,1,21.45
632,Bombilla,2,1,0.0
632,Yerba mate,3,1,0.0
632,Kalebas,4,1,0.0
631,Yerba mate set,1,1,20.62
631,Bombilla,2,1,0.0
631,Yerba mate,3,1,0.0
631,Kalebas,4,1,0.0
630,Yerba mate set,1,1,20.62
630,Bombilla,2,1,0.0
630,Yerba mate,3,1,0.0
630,Kalebas,4,1,0.0
629,Yerba mate set,1,1,20.62
629,Bombilla,2,1,0.0
629,Yerba mate,3,1,0.0
629,Kalebas,4,1,0.0
629,Yerba mate,5,1,9.13
628,Yerba mate set,1,1,20.62
628,Bombilla,2,1,0.0
628,Yerba mate,3,1,0.0
628,Kalebas,4,1,0.0
627,Yerba mate set,1,1,20.62
627,Bombilla,2,1,0.0
627,Yerba mate,3,1,0.0
627,Kalebas,4,1,0.0
626,Yerba mate set,1,1,20.62
626,Bombilla,2,1,0.0
626,Yerba mate,3,1,0.0
626,Kalebas,4,1,0.0
625,Yerba mate set,1,1,21.45
625,Bombilla,2,1,0.0
625,Yerba mate,3,1,0.0
625,Kalebas,4,1,0.0
622,Yerba mate set,1,1,20.62
622,Bombilla,2,1,0.0
622,Yerba mate,3,1,0.0
622,Kalebas,4,1,0.0
621,Yerba mate set,1,1,20.62
621,Bombilla,2,1,0.0
621,Yerba mate,3,1,0.0
621,Kalebas,4,1,0.0
620,Yerba mate set,1,1,20.62
620,Bombilla,2,1,0.0
620,Yerba mate,3,1,0.0
620,Kalebas,4,1,0.0
619,Yerba mate set,1,1,20.62
619,Bombilla,2,1,0.0
619,Yerba mate,3,1,0.0
619,Kalebas,4,1,0.0
618,Yerba mate set,1,2,20.62
618,Bombilla,2,2,0.0
618,Yerba mate,3,2,0.0
618,Kalebas,4,2,0.0
617,Yerba mate set,1,1,20.62
617,Bombilla,2,1,0.0
617,Yerba mate,3,1,0.0
617,Kalebas,4,1,0.0
