,ITEM TYPE,ITEM CODE,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS
,,,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum
50,BEER,10438,0.0,67.0,34.075,340.75,0.0,9.0,5.175,51.75,3.0,10.0,6.2,62.0
51,BEER,10448,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,BEER,10449,1.0,22.0,11.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,BEER,10475,1.0,2.0,1.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,BEER,10477,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,BEER,10478,1.0,5.0,2.3333333333333335,14.0,0.0,0.34,0.1416666666666667,0.8500000000000001,0.0,0.0,0.0,0.0
56,BEER,10479,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,BEER,10493,17.0,28.0,22.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,BEER,10495,1.0,6.0,2.8333333333333335,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,BEER,10496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,BEER,10538,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,BEER,10561,1.0,6.0,2.8333333333333335,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,BEER,10565,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,BEER,1058,0.0,16.0,10.7,107.0,0.0,10.25,6.37,63.7,2.0,14.0,7.5,75.0
64,BEER,10593,1.0,7.0,4.142857142857143,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,BEER,10603,0.0,2.0,1.125,9.0,0.0,0.82,0.22499999999999998,1.7999999999999998,0.0,1.0,0.125,1.0
66,BEER,10605,1.0,3.0,1.8333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,BEER,10609,0.0,41.0,12.875,128.75,0.0,1.75,0.475,4.75,0.0,3.0,1.2,12.0
68,BEER,10610,0.0,12.0,4.0,40.0,0.0,6.0,2.7659999999999996,27.659999999999997,0.0,9.0,3.0,30.0
69,BEER,10611,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
